town,business_name,phone,address,website
"London","The City Window Cleaning Specialists | Central London | London","07852 106858","124 City Rd, London EC1V 2NX","https://www.city-window-cleaning.co.uk/"
"London","ALEX&CHRIS WINDOW CLEANING LTD","07459 609893","93 Regent's Park Rd, London NW1 8UR","http://alexchriswindowcleaning.co.uk/"
"London","MITHRAIC","07841 399473","3rd floor, 45 Albemarle St, London W1S 4JL","http://mithraic.co.uk/"
"London","Window Cleaning London","07514 071700","King's Rd, London SW10 0BB","https://www.windowcleaningldn.co.uk/"
"London","Highbury Window Cleaners HWC","07415 269875","Blackstock Rd, London N5 1EA","https://www.highburywindowcleaners2021.com/"
"London","JB Window Cleaning Services","07494 319933","16 Tiger Way, Lower Clapton, London E5 8LB","https://www.jb-windowcleaningservices.co.uk/"
"London","Power Clean - Window and Gutter Cleaning","07469 718844","Hillside Rd, London SW2 3HJ",""
"London","Bella Window Cleaning","07955 065844","Field Rd, London W6 8HS","http://bellawindowcleaning.co.uk/"
"London","KM Window Cleaning","07575 443347","flat a, 6 Granville Rd, London SW18 5SL","http://www.thechoiceisclear.co.uk/"
"London","JC Servicess","07860 776418","7 Bell Yard, London WC2A 2JR","http://www.jcservicess.co.uk/"
"London","Horizon London Window Cleaners","07986 783454","Victoria Court, 71 Lawrie Park Rd, London SE26 6EY","https://www.horizonwindowcleaners.co.uk/"
"London","Clean Touch Window Cleaning","07832 258892","35 Lomond Cl, London N15 5DF","https://cleantouchwindowcleaning.co.uk/"
"London","London Town Window Cleaning","07737 179000","45 Gainsborough Rd, Richmond TW9 2DZ","https://www.londontownwindowcleaning.com/"
"London","Carlos Window Cleaning","07466 206491","52 Arkwright Rd, London NW3 6AA","https://www.thewindowcleanerslondon.co.uk/"
"London","CNP Window Cleaning Services Westminster","07442 048821","Flat 455, Park West Place, Tyburnia, London W2 2QU","https://www.cnpcleaning.com/services/window-cleaning-in-westminster/"
"London","DP WINDOW & GUTTER CLEANING","07818 818760","Flat 2, 3 Bedford Rd, London N15 4HA","https://dpcleaning.co.uk/"
"London","BIKE BUBL Window Cleaning (South West London)","07950 462263","30 Jaggard Way, London SW12 8SG","https://bikebubl.com/"
