Account Number,Date,Amount (£)
RWC1,02/08/2024,12
RWC1,30/08/2024,12
RWC1,26/09/2024,12
RWC1,24/10/2024,12
RWC1,22/11/2024,12
RWC1,16/12/2024,12
RWC1,16/12/2024,12
RWC1,15/01/2025,12
RWC1,12/02/2025,12
RWC1,12/03/2025,12
RWC1,09/04/2025,£12
RWC1,08/05/2025,£12
RWC1,04/06/2025,£24
RWC1,02/07/2025,£12
RWC10,20/08/2024,10
RWC10,17/09/2024,10
RWC10,15/10/2024,10
RWC10,12/11/2024,10
RWC10,05/12/2024,10
RWC10,07/01/2025,10
RWC10,07/01/2025,10
RWC10,30/01/2025,10
RWC10,04/03/2025,10
RWC10,01/04/2025,£10
RWC10,28/04/2025,£10
RWC10,26/05/2025,£10
RWC10,23/06/2025,£10
RWC100,21/08/2024,15
RWC100,17/09/2024,15
RWC100,16/10/2024,15
RWC100,13/11/2024,15
RWC100,05/12/2024,15
RWC100,08/01/2025,15
RWC100,04/02/2025,15
RWC100,05/03/2025,15
RWC100,01/04/2025,£15
RWC100,28/04/2025,£15
RWC100,27/05/2025,£15
RWC100,23/06/2025,£15
RWC101,19/08/2024,15
RWC101,15/10/2024,15
RWC101,09/12/2024,15
RWC101,30/01/2025,15
RWC101,26/05/2025,£15
RWC102,20/08/2024,15
RWC102,16/09/2024,15
RWC102,15/10/2024,15
RWC102,12/11/2024,15
RWC102,05/12/2024,15
RWC102,07/01/2025,15
RWC102,30/01/2025,15
RWC102,04/03/2025,15
RWC102,01/04/2025,£15
RWC102,28/04/2025,£18
RWC102,26/05/2025,£18
RWC102,23/06/2025,£18
RWC104,06/09/2024,15
RWC104,01/11/2024,15
RWC104,19/12/2024,15
RWC104,20/02/2025,15
RWC104,14/04/2025,£15
RWC104,21/04/2025,£0
RWC104,11/06/2025,£15
RWC105,06/08/2024,6
RWC105,04/09/2024,6
RWC105,01/10/2024,6
RWC105,31/10/2024,6
RWC105,28/11/2024,6
RWC105,17/12/2024,6
RWC105,21/01/2025,6
RWC105,18/02/2025,6
RWC105,18/03/2025,6
RWC105,15/04/2025,8
RWC105,13/05/2025,8
RWC105,09/06/2025,8
RWC105,08/07/2025,8
RWC106,05/09/2024,40
RWC106,31/10/2024,40
RWC106,18/12/2024,40
RWC106,18/02/2025,40
RWC106,10/06/2025,£45
RWC107,05/08/2024,20
RWC107,03/09/2024,64
RWC107,03/09/2024,20
RWC107,04/10/2024,20
RWC107,30/10/2024,20
RWC107,27/11/2024,20
RWC107,17/12/2024,20
RWC107,20/01/2025,20
RWC107,17/02/2025,20
RWC107,17/03/2025,20
RWC107,14/04/2025,£20
RWC107,12/05/2025,£22
RWC107,09/06/2025,£22
RWC107,07/07/2025,£22
RWC108,20/08/2024,12
RWC108,16/09/2024,12
RWC108,15/10/2024,12
RWC108,12/11/2024,12
RWC108,05/12/2024,12
